Date,Equal_Weight_A,Traditional_60_40_B,Risk_Budgeted_C,Risk_Overlay_CPlus
2018-02-28,-0.02322381369856802,-0.025851095045490238,-0.01342687101500955,-0.0134268974761651
2018-04-30,-0.0021211094040622935,-0.0006632888064030508,-0.0076541016566516445,-0.0051258700024825
2018-05-31,0.015464118294071127,0.017233150886012093,0.009093544287604758,0.0090928787459568
2018-07-31,0.01837728570639413,0.02211109705444909,0.005201052175652158,0.0069532524071773
2018-08-31,0.018800017627478294,0.021424073036908808,0.00961764448251845,0.0096178533076699
2018-10-31,-0.03777232132032493,-0.04403871875828991,-0.015615469526175069,-0.0200610206809573
2018-11-30,0.013132037688671216,0.014215446976280965,0.009249354158565672,0.0092497934175084
2018-12-31,-0.03411768464222947,-0.04490382063271088,0.005651398351871473,0.0056505944406613
2019-01-31,0.044587163003799724,0.05168289486604216,0.018239782128480344,0.018240109040532
2019-02-28,0.015638629024612993,0.018994034513098466,0.003355937865710498,0.0033561234646414
2019-04-30,0.019424223921850503,0.023709817550020374,0.004339486487535299,0.0251759477545237
2019-05-31,-0.022331225330106785,-0.03061913844095376,0.007511855768170157,0.0075120158182245
2019-07-31,0.008468929555970894,0.009799029380404712,0.003727958784569008,0.0232946306198125
2019-09-30,0.006668575490630602,0.009226528184091663,-0.0021853670791149343,0.0185900034919585
2019-10-31,0.012093052444342889,0.014095325042023264,0.005355848818845079,0.0053557394933369
2019-12-31,0.014293881603025249,0.01724619666054985,0.005591111929945308,0.0129610604321611
2020-01-31,0.009943142610016165,0.007873752924421362,0.015866207083165555,0.0158662867698774
2020-03-31,-0.06506992688733748,-0.07703021641964196,-0.03207545053945936,-0.0353726691607701
2020-04-30,0.0720871812923164,0.0830664641181138,0.040729394738658505,0.0407291978685579
2020-06-30,0.012162726829936577,0.013277021646794916,0.008912859108786208,0.0243746106637228
2020-07-31,0.03611198937699489,0.040668049270916114,0.022739890296457392,0.0227402461037203
2020-08-31,0.030780437512959558,0.03858366962781621,0.008074436681408649,0.0080743669687228
2020-09-30,-0.019208427206210688,-0.022855458057082376,-0.008426232199209339,-0.0084263050835435
2020-11-30,0.060422429028810676,0.07009338265757518,0.03149204115581026,0.0214236319704139
2020-12-31,0.018952794856161415,0.022571908411181417,0.008099928310551908,0.0081003420111811
2021-03-31,0.0169678854900841,0.022654151209616336,-0.0034462762918285785,-0.0200098008909772
2021-04-30,0.030115397803154864,0.0346744479962227,0.014156125294480154,0.0141561431841785
2021-06-30,0.015353431113441562,0.016768237943380893,0.0107126630230051,0.0135688539554201
2021-08-31,0.013877840668442998,0.017054220776331917,0.003698676040710113,0.0173550822985282
2021-09-30,-0.027888576516932384,-0.031631922482870056,-0.01648734407370794,-0.0164876139589327
2021-11-30,-0.002663058185657985,-0.003737386438707557,0.0003106684179095705,0.0157773235658916
2021-12-31,0.02133020674095948,0.026313713360237044,0.007184098273522644,0.0071842593890903
2022-01-31,-0.036363451622543175,-0.03963897328776789,-0.02726550617525008,-0.0272656876838829
2022-02-28,-0.020486907014188926,-0.022292965956917255,-0.015426116178630364,-0.0154261886913123
2022-03-31,0.004734322293135751,0.011305538871785757,-0.012917503928049126,-0.0129175811704585
2022-05-31,0.0049312816889565125,0.0043965134348480815,0.006398371084363417,-0.0431463901495076
2022-06-30,-0.04899510132887047,-0.05568814634900436,-0.030791656889778897,-0.0307919003199025
2022-08-31,-0.03561213995192597,-0.03665011025422473,-0.03287252238339887,0.0067781468444675
2022-09-30,-0.06694812204480871,-0.07204766033183933,-0.05386846057710562,-0.0538685855507402
2022-10-31,0.03424540521329872,0.043651421409445085,0.009841533009597994,0.0098413143697647
2022-11-30,0.04683782712570783,0.04858854465923796,0.042318658434661885,0.0423190445789424
2023-01-31,0.048094888583201434,0.05105341796184879,0.04079538209744005,0.018565540358606
2023-02-28,-0.02589978577189561,-0.02574837528919645,-0.02626498369639156,-0.0262648874511946
2023-03-31,0.031745023762463576,0.03281155881500149,0.029224075030753263,0.0292239084759379
2023-05-31,-0.0034131968949539515,-0.001807310857726741,-0.006891580044182403,0.0017333374987131
2023-06-30,0.030558532120586235,0.0374067538203251,0.016317413648108677,0.0163175310718047
2023-07-31,0.016289948250735653,0.019578624023236426,0.009629026387957984,0.0096291454940223
2023-08-31,-0.011282628316045873,-0.012276490307892685,-0.009317289934970142,-0.0093173479627628
2023-10-31,-0.018707456085471474,-0.019307676919715223,-0.017671748582991927,-0.050009764253522
2023-11-30,0.06863650674159338,0.0731779499896326,0.061710271295109434,0.0617101828790857
2024-01-31,0.007207615321206784,0.008951418379059505,0.004874383765392842,0.0452599555999462
2024-02-29,0.01872063082500408,0.02541384267547455,0.010131241947704945,0.0101312074002831
2024-04-30,-0.03255090065096089,-0.034104604413959835,-0.030566206628173075,-0.0133586274927211
2024-05-31,0.033637572168662255,0.03702597634710236,0.029276261142870987,0.0292763535967306
2024-07-31,0.018150306442485054,0.016942051464906793,0.019815216985782178,0.0385327739838327
2024-09-30,0.017166275087267313,0.01793394922414544,0.015934881249335568,0.0338166652460417
2024-10-31,-0.017055423044204154,-0.01542905148203173,-0.019805631339388858,-0.0198056829504591
2024-12-31,-0.020497086389424213,-0.02120969025569357,-0.019095135852318645,0.006164184985979
2025-01-31,0.016007962764783112,0.01817759233316276,0.011605055772128023,0.0116051467178108
2025-02-28,0.004839611876383598,0.0013327635699526665,0.012142076953382616,0.0121420020018215
2025-03-31,-0.0279909455293193,-0.03353659929046269,-0.015532284642784559,-0.0155323892813358
2025-04-30,-0.002179813292813526,-0.0034778866139192335,0.0015665849440041036,0.0015665634017338
2025-06-30,0.03296985954727649,0.0366531209234124,0.022122474760850483,0.030808488955366
2025-07-31,0.010195973094273725,0.012763087164092244,0.002617857735912912,0.0026179488448419
2025-09-30,0.0234439855050651,0.02587927099148448,0.016286875743395438,0.0302233962232466
2025-10-31,0.014996057144691988,0.016764328536239236,0.009686009053530814,0.0096859763760183
