Date,Portfolio_Return
2018-02-28,-0.013426897476165166
2018-04-30,-0.005125870002482545
2018-05-31,0.009092878745956897
2018-07-31,0.006953252407177354
2018-08-31,0.009617853307669923
2018-10-31,-0.02006102068095731
2018-11-30,0.009249793417508496
2018-12-31,0.0056505944406613825
2019-01-31,0.018240109040532075
2019-02-28,0.003356123464641452
2019-04-30,0.02517594775452371
2019-05-31,0.0075120158182245805
2019-07-31,0.023294630619812587
2019-09-30,0.01859000349195855
2019-10-31,0.0053557394933369425
2019-12-31,0.012961060432161194
2020-01-31,0.015866286769877457
2020-03-31,-0.035372669160770115
2020-04-30,0.040729197868557936
2020-06-30,0.024374610663722814
2020-07-31,0.02274024610372031
2020-08-31,0.00807436696872289
2020-09-30,-0.008426305083543542
2020-11-30,0.021423631970413987
2020-12-31,0.008100342011181183
2021-03-31,-0.02000980089097723
2021-04-30,0.01415614318417857
2021-06-30,0.013568853955420197
2021-08-31,0.017355082298528245
2021-09-30,-0.016487613958932737
2021-11-30,0.01577732356589163
2021-12-31,0.007184259389090318
2022-01-31,-0.027265687683882954
2022-02-28,-0.015426188691312348
2022-03-31,-0.012917581170458518
2022-05-31,-0.04314639014950767
2022-06-30,-0.03079190031990259
2022-08-31,0.006778146844467534
2022-09-30,-0.053868585550740256
2022-10-31,0.00984131436976472
2022-11-30,0.0423190445789424
2023-01-31,0.018565540358606084
2023-02-28,-0.02626488745119463
2023-03-31,0.029223908475937935
2023-05-31,0.0017333374987131452
2023-06-30,0.016317531071804725
2023-07-31,0.009629145494022379
2023-08-31,-0.009317347962762883
2023-10-31,-0.050009764253522056
2023-11-30,0.06171018287908571
2024-01-31,0.045259955599946236
2024-02-29,0.010131207400283199
2024-04-30,-0.013358627492721108
2024-05-31,0.02927635359673065
2024-07-31,0.0385327739838327
2024-09-30,0.03381666524604175
2024-10-31,-0.01980568295045916
2024-12-31,0.006164184985979051
2025-01-31,0.011605146717810839
2025-02-28,0.012142002001821592
2025-03-31,-0.01553238928133583
2025-04-30,0.001566563401733871
2025-06-30,0.030808488955366087
2025-07-31,0.0026179488448419257
2025-09-30,0.030223396223246664
2025-10-31,0.009685976376018379
