,AGG,SPY
2018-01-31,0.7956786867296214,0.20432131327037856
2018-02-28,0.8728927887770871,0.127107211222913
2018-04-30,0.8795386250868884,0.12046137491311162
2018-05-31,0.8601162598975428,0.13988374010245722
2018-07-31,0.8528896428472696,0.1471103571527304
2018-08-31,0.8499306116768566,0.15006938832314345
2018-10-31,0.8535819745474895,0.14641802545251048
2018-11-30,0.8583764302659469,0.14162356973405316
2018-12-31,0.8687055589619539,0.13129444103804616
2019-01-31,0.8713130849196564,0.1286869150803436
2019-02-28,0.866056835784891,0.13394316421510893
2019-04-30,0.8519871164442865,0.14801288355571351
2019-05-31,0.8600795604290203,0.13992043957097974
2019-07-31,0.8564372150353432,0.1435627849646568
2019-09-30,0.8461339450248245,0.15386605497517541
2019-10-31,0.8364778418933979,0.16352215810660212
2019-12-31,0.7947778100748117,0.20522218992518826
2020-01-31,0.7862227696591099,0.21377723034089022
2020-03-31,0.775866869767331,0.22413313023266904
2020-04-30,0.7856086964075489,0.214391303592451
2020-06-30,0.7916524129864566,0.2083475870135434
2020-07-31,0.7935013891801287,0.2064986108198713
2020-08-31,0.7909819994758419,0.20901800052415814
2020-09-30,0.7956430983967205,0.20435690160327943
2020-11-30,0.7991472090916886,0.20085279090831148
2020-12-31,0.799876375267521,0.20012362473247908
2021-03-31,0.8590082276983706,0.1409917723016294
2021-04-30,0.8500569599549755,0.1499430400450245
2021-06-30,0.8280142555316523,0.1719857444683478
2021-08-31,0.820464311007732,0.17953568899226807
2021-09-30,0.8045733027876452,0.1954266972123549
2021-11-30,0.7767986967787898,0.22320130322121023
2021-12-31,0.7838585266991683,0.21614147330083164
2022-01-31,0.7777556181014893,0.22224438189851078
2022-02-28,0.7802118311771965,0.2197881688228035
2022-03-31,0.7686234125737988,0.23137658742620124
2022-05-31,0.7743411532258672,0.22565884677413287
2022-06-30,0.7719755266001097,0.22802447339989024
2022-08-31,0.7639398798269809,0.23606012017301922
2022-09-30,0.7564871706320526,0.24351282936794738
2022-10-31,0.7594496085781667,0.24055039142183332
2022-11-30,0.758132371698679,0.24186762830132105
2023-01-31,0.746727530861929,0.25327246913807094
2023-02-28,0.7411972526509615,0.25880274734903846
2023-03-31,0.7363681086441095,0.26363189135589055
2023-05-31,0.7166021167501009,0.2833978832498991
2023-06-30,0.7079535257017249,0.2920464742982752
2023-07-31,0.7025411540558337,0.2974588459441662
2023-08-31,0.6977476145781274,0.3022523854218727
2023-10-31,0.6725544072098882,0.32744559279011176
2023-11-30,0.6525117692371114,0.34748823076288865
2024-01-31,0.6338013226497623,0.3661986773502377
2024-02-29,0.628329852232234,0.37167014776776597
2024-04-30,0.6277395389039268,0.37226046109607325
2024-05-31,0.6287128334199803,0.3712871665800197
2024-07-31,0.6377946355854583,0.36220536441454165
2024-09-30,0.6604057996455904,0.33959420035440957
2024-10-31,0.6691008598005193,0.3308991401994807
2024-12-31,0.6967363079918575,0.30326369200814257
2025-01-31,0.7029335816963135,0.29706641830368646
2025-02-28,0.708234415603538,0.291765584396462
2025-03-31,0.7246563060577018,0.27534369394229824
2025-04-30,0.7886122205813783,0.21138777941862177
2025-06-30,0.7945048878884061,0.20549511211159385
2025-07-31,0.795199790591952,0.20480020940804794
2025-09-30,0.7938920221707895,0.20610797782921061
2025-10-31,0.8002959905670841,0.19970400943291597
